Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
0,0108629118323798;--;--;--;--;An entity's length was changed while traveling on a link
0,0108629118323798;--;--;--;--;The length of the entity 'TV.16' was changed while traveling on the link 'Path4'.
0,0232645860356387;--;--;--;--;An entity's length was changed while traveling on a link
0,0232645860356387;--;--;--;--;The length of the entity 'TV.16' was changed while traveling on the link 'Path2'.
0,0284219773686232;--;--;--;--;An entity's length was changed while traveling on a link
0,0284219773686232;--;--;--;--;The length of the entity 'TV.16' was changed while traveling on the link 'Path4'.

